,0
1160,NA1_4291389566
1161,NA1_4288710962
1162,NA1_4294365793
1163,NA1_4298145935
1164,NA1_4296371810
1165,NA1_4288460901
1166,NA1_4293296332
1167,NA1_4291160495
1168,NA1_4296859887
1169,NA1_4297027358
1170,NA1_4297011464
1171,NA1_4296409188
1172,NA1_4298238097
1173,NA1_4295065220
1174,NA1_4295297218
1175,NA1_4290591452
1176,NA1_4298175872
1177,NA1_4297547216
1178,NA1_4291767947
1179,NA1_4298270486
1180,NA1_4291872673
1181,NA1_4296930478
1182,NA1_4298392217
1183,NA1_4287889221
1184,NA1_4296272998
1185,NA1_4297993224
1186,NA1_4296367439
1187,NA1_4298285307
1188,NA1_4296444082
1189,NA1_4298112715
1190,NA1_4292176591
1191,NA1_4298181354
1192,NA1_4293882425
1193,NA1_4296471812
1194,NA1_4298243523
1195,NA1_4297948018
1196,NA1_4298021702
1197,NA1_4295572542
1198,NA1_4293376572
1199,NA1_4294747683
1200,NA1_4295733187
1201,NA1_4297459134
1202,NA1_4292093998
1203,NA1_4295433269
1204,NA1_4297711499
1205,NA1_4296943799
1206,NA1_4294425522
1207,NA1_4285350723
1208,NA1_4296686144
1209,NA1_4289131388
1210,NA1_4294319782
1211,NA1_4296444502
1212,NA1_4295752584
1213,NA1_4295370956
1214,NA1_4294590175
1215,NA1_4298194812
1216,NA1_4281998902
1217,NA1_4290543371
1218,NA1_4298148568
1219,NA1_4294970428
1220,NA1_4290960796
1221,NA1_4294986378
1222,NA1_4289949584
1223,NA1_4298277871
1224,NA1_4298090968
1225,NA1_4294372155
1226,NA1_4294340947
1227,NA1_4295652715
1228,NA1_4295449892
1229,NA1_4296291546
1230,NA1_4296345860
1231,NA1_4296251052
1232,NA1_4298242121
1233,NA1_4295544836
1234,NA1_4292464723
1235,NA1_4298022336
1236,NA1_4291493116
1237,NA1_4288974341
1238,NA1_4294359141
1239,NA1_4298158155
1240,NA1_4287924406
1241,NA1_4291059208
1242,NA1_4297042208
1243,NA1_4295349787
1244,NA1_4284775601
1245,NA1_4296752066
1246,NA1_4297804147
1247,NA1_4296140152
